uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
RN,OUTRAS,OUTRO,"20 - 29",M,1
RO,OUTRAS,DOMICILIO,"20 - 29",M,1
RO,OUTRAS,HOSPITAL,"20 - 29",M,1
RO,OUTRAS,VIA_PUBLICA,"20 - 29",M,1
RO,SEPTICEMIA,HOSPITAL,"20 - 29",M,1
RR,OUTRAS,VIA_PUBLICA,"20 - 29",M,1
RS,OUTRAS,DOMICILIO,"20 - 29",F,3
RS,OUTRAS,DOMICILIO,"20 - 29",M,1
RS,OUTRAS,HOSPITAL,"20 - 29",F,6
RS,OUTRAS,HOSPITAL,"20 - 29",M,4
RS,OUTRAS,IGNORADO,"20 - 29",M,1
RS,OUTRAS,OUTRO,"20 - 29",M,1
RS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,2
RS,PNEUMONIA,HOSPITAL,"20 - 29",F,3
RS,PNEUMONIA,HOSPITAL,"20 - 29",M,1
RS,SEPTICEMIA,HOSPITAL,"20 - 29",F,2
SC,OUTRAS,DOMICILIO,"20 - 29",F,1
SC,OUTRAS,DOMICILIO,"20 - 29",M,1
SC,OUTRAS,HOSPITAL,"20 - 29",F,2
SC,OUTRAS,HOSPITAL,"20 - 29",M,3
SC,OUTRAS,VIA_PUBLICA,"20 - 29",M,1
SC,COVID,HOSPITAL,"20 - 29",F,1
SC,COVID,HOSPITAL,"20 - 29",M,2
SC,PNEUMONIA,HOSPITAL,"20 - 29",M,1
SC,SEPTICEMIA,HOSPITAL,"20 - 29",M,1
SE,COVID,HOSPITAL,"20 - 29",M,1
SE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,1
SE,SEPTICEMIA,HOSPITAL,"20 - 29",M,1
SP,OUTRAS,DOMICILIO,"20 - 29",F,3
SP,OUTRAS,DOMICILIO,"20 - 29",M,8
SP,OUTRAS,HOSPITAL,"20 - 29",F,15
SP,OUTRAS,HOSPITAL,"20 - 29",M,36
SP,OUTRAS,OUTRO,"20 - 29",M,4
SP,OUTRAS,OUTROS_SERVICOS_SAUDE,"20 - 29",M,5
SP,OUTRAS,VIA_PUBLICA,"20 - 29",F,1
SP,OUTRAS,VIA_PUBLICA,"20 - 29",M,12
SP,COVID,HOSPITAL,"20 - 29",F,4
SP,COVID,HOSPITAL,"20 - 29",M,4
SP,INDETERMINADA,HOSPITAL,"20 - 29",F,1
SP,INDETERMINADA,HOSPITAL,"20 - 29",M,1
SP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"20 - 29",M,2
SP,INSUFICIENCIA_RESPIRATORIA,POSTO_SAUDE,"20 - 29",F,1
SP,PNEUMONIA,HOSPITAL,"20 - 29",F,5
SP,PNEUMONIA,HOSPITAL,"20 - 29",M,5
SP,SEPTICEMIA,HOSPITAL,"20 - 29",F,4
SP,SEPTICEMIA,HOSPITAL,"20 - 29",M,4
SP,SRAG,HOSPITAL,"20 - 29",F,1
SP,SRAG,HOSPITAL,"20 - 29",M,1
TO,OUTRAS,DOMICILIO,"20 - 29",F,1
TO,OUTRAS,DOMICILIO,"20 - 29",M,1
TO,OUTRAS,HOSPITAL,"20 - 29",M,1
TO,COVID,HOSPITAL,"20 - 29",F,1
TO,PNEUMONIA,HOSPITAL,"20 - 29",F,1
TO,PNEUMONIA,HOSPITAL,"20 - 29",M,1
AC,OUTRAS,DOMICILIO,"30 - 39",F,1
AC,OUTRAS,DOMICILIO,"30 - 39",M,1
AC,OUTRAS,HOSPITAL,"30 - 39",F,1
AC,PNEUMONIA,HOSPITAL,"30 - 39",F,1
AC,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
AC,SEPTICEMIA,HOSPITAL,"30 - 39",M,1
AL,OUTRAS,DOMICILIO,"30 - 39",F,4
AL,OUTRAS,HOSPITAL,"30 - 39",F,2
AL,OUTRAS,HOSPITAL,"30 - 39",M,2
AL,OUTRAS,VIA_PUBLICA,"30 - 39",M,3
AL,COVID,HOSPITAL,"30 - 39",F,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",M,1
AL,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
AL,SEPTICEMIA,HOSPITAL,"30 - 39",M,1
AM,OUTRAS,DOMICILIO,"30 - 39",F,1
AM,OUTRAS,DOMICILIO,"30 - 39",M,1
AM,OUTRAS,HOSPITAL,"30 - 39",F,4
AM,OUTRAS,HOSPITAL,"30 - 39",M,5
AM,OUTRAS,OUTRO,"30 - 39",M,1
AM,OUTRAS,VIA_PUBLICA,"30 - 39",F,1
AM,COVID,HOSPITAL,"30 - 39",F,8
AM,COVID,HOSPITAL,"30 - 39",M,12
AM,PNEUMONIA,HOSPITAL,"30 - 39",F,1
AM,PNEUMONIA,HOSPITAL,"30 - 39",M,1
AM,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
AM,SEPTICEMIA,HOSPITAL,"30 - 39",M,1
AM,SRAG,HOSPITAL,"30 - 39",F,5
AM,SRAG,HOSPITAL,"30 - 39",M,4
BA,OUTRAS,DOMICILIO,"30 - 39",F,5
BA,OUTRAS,DOMICILIO,"30 - 39",M,3
BA,OUTRAS,HOSPITAL,"30 - 39",F,4
BA,OUTRAS,HOSPITAL,"30 - 39",M,13
BA,OUTRAS,OUTRO,"30 - 39",F,1
BA,OUTRAS,OUTRO,"30 - 39",M,1
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,2
BA,OUTRAS,VIA_PUBLICA,"30 - 39",M,2
BA,COVID,DOMICILIO,"30 - 39",F,1
BA,COVID,HOSPITAL,"30 - 39",F,2
BA,COVID,HOSPITAL,"30 - 39",M,1
BA,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,1
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,1
BA,PNEUMONIA,HOSPITAL,"30 - 39",M,2
BA,SEPTICEMIA,HOSPITAL,"30 - 39",F,3
BA,SEPTICEMIA,HOSPITAL,"30 - 39",M,3
BA,SRAG,HOSPITAL,"30 - 39",F,1
BA,SRAG,HOSPITAL,"30 - 39",M,1
CE,OUTRAS,DOMICILIO,"30 - 39",F,1
CE,OUTRAS,DOMICILIO,"30 - 39",M,2
CE,OUTRAS,HOSPITAL,"30 - 39",F,3
CE,OUTRAS,HOSPITAL,"30 - 39",M,2
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
CE,OUTRAS,VIA_PUBLICA,"30 - 39",M,2
CE,COVID,HOSPITAL,"30 - 39",F,2
CE,COVID,HOSPITAL,"30 - 39",M,2
CE,COVID,IGNORADO,"30 - 39",M,1
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,2
CE,PNEUMONIA,HOSPITAL,"30 - 39",F,1
CE,PNEUMONIA,HOSPITAL,"30 - 39",M,1
CE,SEPTICEMIA,HOSPITAL,"30 - 39",M,3
DF,OUTRAS,HOSPITAL,"30 - 39",F,1
DF,OUTRAS,HOSPITAL,"30 - 39",M,5
DF,OUTRAS,VIA_PUBLICA,"30 - 39",M,4
DF,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,1
DF,PNEUMONIA,HOSPITAL,"30 - 39",M,1
DF,SEPTICEMIA,HOSPITAL,"30 - 39",M,2
ES,OUTRAS,DOMICILIO,"30 - 39",F,1
ES,OUTRAS,DOMICILIO,"30 - 39",M,4
ES,OUTRAS,HOSPITAL,"30 - 39",F,1
ES,OUTRAS,HOSPITAL,"30 - 39",M,9
ES,OUTRAS,OUTRO,"30 - 39",F,1
ES,OUTRAS,VIA_PUBLICA,"30 - 39",M,1
ES,COVID,HOSPITAL,"30 - 39",F,3
ES,COVID,HOSPITAL,"30 - 39",M,4
ES,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
ES,SEPTICEMIA,HOSPITAL,"30 - 39",M,1
ES,SRAG,HOSPITAL,"30 - 39",M,1
GO,OUTRAS,DOMICILIO,"30 - 39",M,4
GO,OUTRAS,HOSPITAL,"30 - 39",F,1
GO,OUTRAS,HOSPITAL,"30 - 39",M,5
GO,OUTRAS,OUTRO,"30 - 39",M,2
GO,OUTRAS,VIA_PUBLICA,"30 - 39",M,3
GO,COVID,HOSPITAL,"30 - 39",F,1
GO,COVID,HOSPITAL,"30 - 39",M,5
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",F,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,2
GO,PNEUMONIA,DOMICILIO,"30 - 39",F,1
GO,PNEUMONIA,HOSPITAL,"30 - 39",M,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
GO,SEPTICEMIA,HOSPITAL,"30 - 39",F,2
MA,OUTRAS,HOSPITAL,"30 - 39",F,5
MA,OUTRAS,HOSPITAL,"30 - 39",M,1
MA,OUTRAS,VIA_PUBLICA,"30 - 39",M,1
MA,COVID,HOSPITAL,"30 - 39",M,2
MA,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
MA,SEPTICEMIA,HOSPITAL,"30 - 39",M,2
MG,OUTRAS,DOMICILIO,"30 - 39",F,7
MG,OUTRAS,DOMICILIO,"30 - 39",M,4
MG,OUTRAS,HOSPITAL,"30 - 39",F,3
MG,OUTRAS,HOSPITAL,"30 - 39",M,11
MG,OUTRAS,OUTRO,"30 - 39",M,2
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,2
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,2
MG,OUTRAS,VIA_PUBLICA,"30 - 39",M,1
MG,COVID,HOSPITAL,"30 - 39",F,5
MG,COVID,HOSPITAL,"30 - 39",M,2
MG,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
MG,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
MG,PNEUMONIA,HOSPITAL,"30 - 39",M,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
MG,SEPTICEMIA,DOMICILIO,"30 - 39",F,1
MG,SEPTICEMIA,HOSPITAL,"30 - 39",F,3
MG,SEPTICEMIA,HOSPITAL,"30 - 39",M,4
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
MG,SRAG,HOSPITAL,"30 - 39",F,1
MS,OUTRAS,DOMICILIO,"30 - 39",M,1
MS,OUTRAS,HOSPITAL,"30 - 39",F,3
MS,OUTRAS,HOSPITAL,"30 - 39",M,4
MS,OUTRAS,OUTRO,"30 - 39",M,1
MS,COVID,HOSPITAL,"30 - 39",F,2
MS,COVID,HOSPITAL,"30 - 39",M,1
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,1
MS,PNEUMONIA,HOSPITAL,"30 - 39",F,1
MS,PNEUMONIA,HOSPITAL,"30 - 39",M,1
MT,OUTRAS,HOSPITAL,"30 - 39",M,1
MT,OUTRAS,IGNORADO,"30 - 39",F,2
MT,COVID,HOSPITAL,"30 - 39",M,1
MT,COVID,IGNORADO,"30 - 39",M,1
MT,PNEUMONIA,IGNORADO,"30 - 39",F,1
PA,OUTRAS,DOMICILIO,"30 - 39",M,2
PA,OUTRAS,HOSPITAL,"30 - 39",F,1
PA,OUTRAS,HOSPITAL,"30 - 39",M,4
PA,OUTRAS,OUTRO,"30 - 39",M,1
PA,OUTRAS,VIA_PUBLICA,"30 - 39",M,1
PA,COVID,HOSPITAL,"30 - 39",F,1
PA,COVID,HOSPITAL,"30 - 39",M,1
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,2
PA,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
PB,OUTRAS,DOMICILIO,"30 - 39",F,1
PB,OUTRAS,DOMICILIO,"30 - 39",M,3
PB,OUTRAS,HOSPITAL,"30 - 39",M,3
PB,COVID,HOSPITAL,"30 - 39",F,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,1
PB,PNEUMONIA,HOSPITAL,"30 - 39",M,3
PB,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
PE,OUTRAS,DOMICILIO,"30 - 39",F,1
PE,OUTRAS,DOMICILIO,"30 - 39",M,4
PE,OUTRAS,HOSPITAL,"30 - 39",F,2
PE,OUTRAS,HOSPITAL,"30 - 39",M,9
PE,OUTRAS,IGNORADO,"30 - 39",M,1
PE,OUTRAS,OUTRO,"30 - 39",M,3
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
PE,OUTRAS,VIA_PUBLICA,"30 - 39",M,6
PE,COVID,HOSPITAL,"30 - 39",F,1
PE,COVID,HOSPITAL,"30 - 39",M,4
PE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",F,1
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,1
PE,PNEUMONIA,HOSPITAL,"30 - 39",F,1
PE,PNEUMONIA,HOSPITAL,"30 - 39",M,1
PE,SEPTICEMIA,HOSPITAL,"30 - 39",F,3
PE,SEPTICEMIA,HOSPITAL,"30 - 39",M,5
PI,OUTRAS,DOMICILIO,"30 - 39",M,1
PR,OUTRAS,DOMICILIO,"30 - 39",F,2
PR,OUTRAS,DOMICILIO,"30 - 39",M,9
PR,OUTRAS,HOSPITAL,"30 - 39",F,3
PR,OUTRAS,HOSPITAL,"30 - 39",M,12
PR,OUTRAS,OUTRO,"30 - 39",F,1
PR,OUTRAS,OUTRO,"30 - 39",M,6
PR,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
PR,OUTRAS,VIA_PUBLICA,"30 - 39",M,2
PR,COVID,HOSPITAL,"30 - 39",F,4
PR,COVID,HOSPITAL,"30 - 39",M,4
PR,INDETERMINADA,VIA_PUBLICA,"30 - 39",M,1
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,1
PR,PNEUMONIA,HOSPITAL,"30 - 39",F,2
PR,PNEUMONIA,HOSPITAL,"30 - 39",M,3
PR,SEPTICEMIA,HOSPITAL,"30 - 39",F,2
PR,SEPTICEMIA,HOSPITAL,"30 - 39",M,1
RJ,OUTRAS,DOMICILIO,"30 - 39",F,5
RJ,OUTRAS,DOMICILIO,"30 - 39",M,4
RJ,OUTRAS,HOSPITAL,"30 - 39",F,14
RJ,OUTRAS,HOSPITAL,"30 - 39",M,19
RJ,OUTRAS,IGNORADO,"30 - 39",F,1
RJ,OUTRAS,OUTRO,"30 - 39",M,5
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,5
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,8
RJ,OUTRAS,VIA_PUBLICA,"30 - 39",M,4
RJ,COVID,HOSPITAL,"30 - 39",F,16
RJ,COVID,HOSPITAL,"30 - 39",M,8
RJ,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
RJ,COVID,OUTROS_SERVICOS_SAUDE,"30 - 39",M,2
RJ,INDETERMINADA,DOMICILIO,"30 - 39",F,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,2
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,2
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
RJ,PNEUMONIA,HOSPITAL,"30 - 39",F,5
RJ,PNEUMONIA,HOSPITAL,"30 - 39",M,5
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,2
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
RJ,SEPTICEMIA,HOSPITAL,"30 - 39",F,6
RJ,SEPTICEMIA,HOSPITAL,"30 - 39",M,6
RJ,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
RJ,SRAG,HOSPITAL,"30 - 39",F,2
RN,OUTRAS,HOSPITAL,"30 - 39",M,2
RN,PNEUMONIA,HOSPITAL,"30 - 39",F,1
RN,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
RO,OUTRAS,HOSPITAL,"30 - 39",F,1
RO,OUTRAS,HOSPITAL,"30 - 39",M,2
RO,COVID,HOSPITAL,"30 - 39",F,2
RO,COVID,HOSPITAL,"30 - 39",M,2
RO,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
RR,OUTRAS,HOSPITAL,"30 - 39",M,1
RS,OUTRAS,DOMICILIO,"30 - 39",F,3
RS,OUTRAS,DOMICILIO,"30 - 39",M,4
RS,OUTRAS,HOSPITAL,"30 - 39",F,6
RS,OUTRAS,HOSPITAL,"30 - 39",M,9
RS,OUTRAS,IGNORADO,"30 - 39",M,1
RS,OUTRAS,OUTRO,"30 - 39",M,3
RS,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
RS,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,2
RS,COVID,HOSPITAL,"30 - 39",F,4
RS,COVID,HOSPITAL,"30 - 39",M,6
RS,COVID,IGNORADO,"30 - 39",M,1
RS,INDETERMINADA,HOSPITAL,"30 - 39",F,1
RS,INDETERMINADA,HOSPITAL,"30 - 39",M,1
RS,INDETERMINADA,OUTRO,"30 - 39",M,1
RS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,3
RS,PNEUMONIA,HOSPITAL,"30 - 39",F,1
RS,PNEUMONIA,HOSPITAL,"30 - 39",M,2
RS,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
RS,SEPTICEMIA,HOSPITAL,"30 - 39",M,2
SC,OUTRAS,DOMICILIO,"30 - 39",F,1
SC,OUTRAS,DOMICILIO,"30 - 39",M,2
SC,OUTRAS,HOSPITAL,"30 - 39",F,2
SC,OUTRAS,HOSPITAL,"30 - 39",M,3
SC,COVID,HOSPITAL,"30 - 39",F,2
SC,COVID,HOSPITAL,"30 - 39",M,2
SC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,1
SC,PNEUMONIA,HOSPITAL,"30 - 39",F,2
SC,PNEUMONIA,HOSPITAL,"30 - 39",M,1
SC,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
SC,SEPTICEMIA,HOSPITAL,"30 - 39",M,2
SE,OUTRAS,DOMICILIO,"30 - 39",M,1
SE,OUTRAS,HOSPITAL,"30 - 39",F,1
SE,OUTRAS,HOSPITAL,"30 - 39",M,1
SE,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,1
SE,COVID,HOSPITAL,"30 - 39",F,2
SE,COVID,HOSPITAL,"30 - 39",M,2
SE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"30 - 39",M,1
SE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,1
SP,OUTRAS,DOMICILIO,"30 - 39",F,7
SP,OUTRAS,DOMICILIO,"30 - 39",M,22
SP,OUTRAS,HOSPITAL,"30 - 39",F,31
SP,OUTRAS,HOSPITAL,"30 - 39",M,45
SP,OUTRAS,OUTRO,"30 - 39",M,5
SP,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",F,1
SP,OUTRAS,OUTROS_SERVICOS_SAUDE,"30 - 39",M,4
SP,OUTRAS,VIA_PUBLICA,"30 - 39",F,1
SP,OUTRAS,VIA_PUBLICA,"30 - 39",M,10
SP,COVID,DOMICILIO,"30 - 39",M,1
SP,COVID,HOSPITAL,"30 - 39",F,16
SP,COVID,HOSPITAL,"30 - 39",M,20
SP,COVID,OUTRO,"30 - 39",F,1
SP,INDETERMINADA,DOMICILIO,"30 - 39",M,1
SP,INDETERMINADA,OUTRO,"30 - 39",M,1
SP,INDETERMINADA,VIA_PUBLICA,"30 - 39",M,2
SP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",F,2
SP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"30 - 39",M,3
SP,PNEUMONIA,HOSPITAL,"30 - 39",F,7
SP,PNEUMONIA,HOSPITAL,"30 - 39",M,13
SP,SEPTICEMIA,HOSPITAL,"30 - 39",F,5
SP,SEPTICEMIA,HOSPITAL,"30 - 39",M,10
SP,SRAG,DOMICILIO,"30 - 39",F,1
SP,SRAG,HOSPITAL,"30 - 39",F,2
TO,OUTRAS,HOSPITAL,"30 - 39",M,1
TO,PNEUMONIA,HOSPITAL,"30 - 39",M,1
TO,SEPTICEMIA,HOSPITAL,"30 - 39",F,1
AC,OUTRAS,DOMICILIO,"40 - 49",M,1
AC,OUTRAS,HOSPITAL,"40 - 49",F,2
AC,OUTRAS,HOSPITAL,"40 - 49",M,1
AC,COVID,HOSPITAL,"40 - 49",M,2
AC,PNEUMONIA,HOSPITAL,"40 - 49",M,1
AC,SEPTICEMIA,HOSPITAL,"40 - 49",F,1
AC,SRAG,HOSPITAL,"40 - 49",M,1
AL,OUTRAS,DOMICILIO,"40 - 49",F,3
AL,OUTRAS,DOMICILIO,"40 - 49",M,2
AL,OUTRAS,HOSPITAL,"40 - 49",F,3
AL,OUTRAS,HOSPITAL,"40 - 49",M,5
AL,OUTRAS,VIA_PUBLICA,"40 - 49",M,2
AL,COVID,HOSPITAL,"40 - 49",F,2
AL,COVID,HOSPITAL,"40 - 49",M,2
AL,INDETERMINADA,DOMICILIO,"40 - 49",M,1
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,2
AL,PNEUMONIA,DOMICILIO,"40 - 49",F,1
AL,PNEUMONIA,HOSPITAL,"40 - 49",F,1
AL,PNEUMONIA,HOSPITAL,"40 - 49",M,2
AM,OUTRAS,DOMICILIO,"40 - 49",F,3
AM,OUTRAS,DOMICILIO,"40 - 49",M,3
AM,OUTRAS,HOSPITAL,"40 - 49",F,4
AM,OUTRAS,HOSPITAL,"40 - 49",M,8
AM,OUTRAS,OUTRO,"40 - 49",M,1
AM,OUTRAS,VIA_PUBLICA,"40 - 49",M,1
AM,COVID,DOMICILIO,"40 - 49",F,1
AM,COVID,DOMICILIO,"40 - 49",M,2
AM,COVID,HOSPITAL,"40 - 49",F,5
AM,COVID,HOSPITAL,"40 - 49",M,23
AM,PNEUMONIA,HOSPITAL,"40 - 49",F,2
AM,PNEUMONIA,HOSPITAL,"40 - 49",M,2
AM,PNEUMONIA,OUTRO,"40 - 49",M,1
AM,SEPTICEMIA,HOSPITAL,"40 - 49",M,2
AM,SRAG,DOMICILIO,"40 - 49",F,1
AM,SRAG,HOSPITAL,"40 - 49",F,2
AM,SRAG,HOSPITAL,"40 - 49",M,2
AP,COVID,HOSPITAL,"40 - 49",M,1
BA,OUTRAS,DOMICILIO,"40 - 49",F,3
BA,OUTRAS,DOMICILIO,"40 - 49",M,12
BA,OUTRAS,HOSPITAL,"40 - 49",F,18
BA,OUTRAS,HOSPITAL,"40 - 49",M,29
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,2
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,2
BA,OUTRAS,VIA_PUBLICA,"40 - 49",M,1
BA,COVID,HOSPITAL,"40 - 49",F,6
BA,COVID,HOSPITAL,"40 - 49",M,5
BA,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",F,2
BA,COVID,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"40 - 49",M,1
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,1
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,1
BA,PNEUMONIA,HOSPITAL,"40 - 49",M,2
BA,SEPTICEMIA,DOMICILIO,"40 - 49",M,1
BA,SEPTICEMIA,HOSPITAL,"40 - 49",F,2
BA,SEPTICEMIA,HOSPITAL,"40 - 49",M,5
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
BA,SRAG,HOSPITAL,"40 - 49",M,1
CE,OUTRAS,DOMICILIO,"40 - 49",F,2
CE,OUTRAS,DOMICILIO,"40 - 49",M,4
CE,OUTRAS,HOSPITAL,"40 - 49",F,1
CE,OUTRAS,HOSPITAL,"40 - 49",M,8
CE,OUTRAS,IGNORADO,"40 - 49",F,4
CE,OUTRAS,IGNORADO,"40 - 49",M,6
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
CE,COVID,HOSPITAL,"40 - 49",F,2
CE,COVID,HOSPITAL,"40 - 49",M,3
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,3
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"40 - 49",F,2
CE,PNEUMONIA,HOSPITAL,"40 - 49",F,2
CE,PNEUMONIA,HOSPITAL,"40 - 49",M,1
CE,SEPTICEMIA,HOSPITAL,"40 - 49",F,4
CE,SEPTICEMIA,HOSPITAL,"40 - 49",M,3
CE,SRAG,HOSPITAL,"40 - 49",F,1
CE,SRAG,HOSPITAL,"40 - 49",M,2
DF,OUTRAS,DOMICILIO,"40 - 49",F,2
DF,OUTRAS,DOMICILIO,"40 - 49",M,5
DF,OUTRAS,HOSPITAL,"40 - 49",F,6
DF,OUTRAS,HOSPITAL,"40 - 49",M,3
DF,OUTRAS,VIA_PUBLICA,"40 - 49",M,1
DF,COVID,HOSPITAL,"40 - 49",F,1
DF,COVID,HOSPITAL,"40 - 49",M,2
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,1
DF,INSUFICIENCIA_RESPIRATORIA,OUTRO,"40 - 49",M,1
DF,PNEUMONIA,HOSPITAL,"40 - 49",F,1
DF,PNEUMONIA,HOSPITAL,"40 - 49",M,1
DF,SEPTICEMIA,HOSPITAL,"40 - 49",F,1
DF,SEPTICEMIA,HOSPITAL,"40 - 49",M,3
ES,OUTRAS,DOMICILIO,"40 - 49",M,3
ES,OUTRAS,HOSPITAL,"40 - 49",F,7
ES,OUTRAS,HOSPITAL,"40 - 49",M,8
ES,OUTRAS,OUTRO,"40 - 49",F,1
ES,OUTRAS,OUTRO,"40 - 49",M,4
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",F,2
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"40 - 49",M,1
ES,OUTRAS,VIA_PUBLICA,"40 - 49",M,3
ES,COVID,HOSPITAL,"40 - 49",F,4
ES,COVID,HOSPITAL,"40 - 49",M,2
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",F,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"40 - 49",M,1
ES,PNEUMONIA,HOSPITAL,"40 - 49",M,2
ES,SEPTICEMIA,HOSPITAL,"40 - 49",F,1
ES,SEPTICEMIA,HOSPITAL,"40 - 49",M,1
ES,SRAG,HOSPITAL,"40 - 49",F,1
ES,SRAG,HOSPITAL,"40 - 49",M,1
GO,OUTRAS,DOMICILIO,"40 - 49",F,1
GO,OUTRAS,DOMICILIO,"40 - 49",M,4
GO,OUTRAS,HOSPITAL,"40 - 49",F,5
